ticker,pe_ratio,profitability,leverage,operating_efficiency
FIS,62.227939156924975,5,1,1
FITB,13.407642826153214,3,1,0
FI,32.246956203294836,5,2,2
FOXA,13.189274881164359,3,2,0
FOX,12.157728995434493,3,2,0
FRT,32.6539584968097,5,1,1
FSLR,20.636607578822545,5,1,2
FTNT,46.15976457765117,5,1,2
FTV,30.887551671529867,5,2,2
F,11.010416348775228,3,1,1
GDDY,13.016652941803056,4,0,2
GD,23.452418382379825,4,2,1
GEN,28.63541642824809,4,0,1
GE,44.226950787483375,3,2,1
GILD,103.15853211937882,3,1,1
GIS,17.526190621512278,3,0,0
GLW,88.0000020943436,3,2,0
GL,9.631102770620831,5,1,1
GM,5.132584303952335,5,1,2
GNRC,41.28350326695393,5,2,2
GOOGL,23.968435804676293,5,1,2
GOOG,24.18364383910958,5,1,2
GPN,18.100917711170442,5,1,2
GRMN,23.98166414376543,5,1,2
GS,15.88578773378599,3,1,1
GWW,28.331230881118042,4,2,1
HAL,10.328903705178702,5,1,2
HAS,-9.680053220695282,4,1,1
HBAN,13.792452722225548,3,1,1
HCA,18.500939310996184,5,1,2
HD,27.44354740265877,3,1,2
HES,16.33760143630857,5,1,2
HIG,12.430525930304276,5,1,2
HII,13.717471470683419,4,2,2
HLT,49.41226241452497,5,1,1
HOLX,27.38566479992134,5,2,2
HON,23.23603178783317,5,2,2
HPE,14.624114070378297,3,1,1
HPQ,12.628070764374314,3,1,2
HRL,21.92307718983897,4,2,2
HSIC,26.036899468115774,3,2,1
HST,16.849057179576945,5,1,1
HSY,21.244739350818453,4,1,2
HUBB,31.760532240998014,3,2,1
HUM,14.780172338626656,1,1,2
HWM,45.34666612413194,5,1,2
IBM,24.86248624862486,5,0,1
ICE,40.38709541112554,4,2,2
IDXX,47.387898157513334,5,1,2
IEX,27.594772039675245,4,2,2
IFF,-10.896963256041554,3,2,2
INCY,164.60975088724277,1,1,1
INTC,94.12500063578288,3,2,2
INTU,58.54937515917126,4,2,1
INVH,44.28205245580428,3,1,1
IPG,11.403704042787904,3,2,1
IP,39.45528356040396,5,2,0
IQV,29.84935017375203,5,0,2
IR,50.064355075949486,5,2,2
ISRG,82.80928044794351,4,1,2
ITW,25.33431408452053,5,1,1
IT,48.87821331804531,3,0,2
IVZ,-23.972972663673193,3,1,0
JBHT,28.316696088203262,3,2,0
JCI,30.63967623691327,3,2,1
JKHY,35.09441221380509,4,2,1
JNPR,54.676055908203125,3,2,1
JPM,11.773690146081556,3,1,1
J,27.67588800121202,3,2,1
KEYS,30.073077862079327,3,2,0
KEY,22.078948271901982,3,1,0
KHC,22.17307702088967,3,2,1
KIM,42.48148247047707,3,1,1
KKR,31.582938099359453,5,2,1
KMB,20.841715886042667,5,0,2
KMI,21.669725540581098,5,0,1
KMX,28.662743661917894,3,1,1
KO,28.524389499571267,3,1,2
KR,14.630889892578125,5,0,2
KVUE,38.87719271475809,3,2,1
K,30.53409114028468,3,0,2
LDOS,52.15987441681769,5,1,2
LEN,12.423312883435583,5,2,1
LHX,39.04807750995342,3,2,2
LH,40.07421150278294,5,2,2
LIN,36.34937831333705,5,1,1
LKQ,14.366300813444369,3,2,1
LLY,109.25615432814425,4,2,2
LMT,21.964791465800815,3,2,1
LNT,21.887272227894176,3,0,2
LOW,22.11065315983691,3,1,0
LRCX,2.811724169500943,4,2,1
LUV,240.3846153846154,3,2,1
LW,9.16777609508936,4,1,1
LYB,14.976780185758514,5,2,0
LYV,100.79091158780184,3,0,2
L,11.624633252096315,5,1,2
MAA,35.14090798117898,3,0,1
MAR,26.302686013466072,3,0,1
MA,39.5627990625621,5,2,2
MCHP,30.94820729289872,3,1,0
MCK,21.699598275714543,3,1,0
MCO,45.506916875424594,5,1,1
MDLZ,24.573883895611843,3,1,2
MDT,29.717172436441235,5,2,1
META,30.48286457500799,5,1,2
MET,22.836956770523734,5,1,1
MGM,15.43129782640297,3,1,1
MHK,-27.382979156277706,4,2,1
MKC,29.41970825195312,5,1,2
MKTX,39.4308348554012,5,1,1
MLM,15.920716444458156,4,2,1
MMC,27.563275888599176,5,2,2
MMM,79.57059074850643,5,2,1
MNST,31.843750476837158,5,1,2
MOH,18.13878296367166,2,1,1
MOS,35.90666707356771,3,2,0
MO,10.481171228895626,4,0,1
MPC,9.01835321067326,3,2,1
MPWR,111.38214111328125,4,1,1
MRK,20.327777156123407,5,2,2
MRNA,-3.9218241539374237,1,1,1
MRO,6.918854360648726,5,2,2
MSCI,39.49899334917113,5,1,1
MSFT,36.05372595828369,4,2,1
MSI,52.7283358071392,3,1,2
MS,17.743420600891113,3,1,1
MTB,13.249815084741591,3,1,1
MTCH,16.34782542353091,3,1,2
MTD,39.96753634908012,4,1,2
MU,-72.51773049645391,4,2,2
NCLH,21.020617927472617,5,0,2
NDAQ,41.930234154989556,3,2,2
NDSN,30.694275274056025,3,2,1
NEE,27.312703086032933,3,1,0
NEM,-19.610294173745547,4,2,2
NFLX,44.9531550410388,5,2,2
NI,21.251533367882477,5,0,1
NKE,22.050938337801608,3,2,0
NOC,34.87589280275341,5,2,2
NRG,10.45504369233784,5,2,2
NSC,31.382278249233583,3,1,0
NTAP,24.146770917739417,5,2,2
NTRS,12.40877902393315,5,1,1
NUE,10.910663000101314,3,2,1
NVDA,58.64788646429358,5,2,2
NVR,19.665591931216934,4,1,1
NWSA,56.826085629670516,4,2,1
NWS,59.804348323656164,4,2,1
NXPI,21.932584784004128,4,1,2
ODFL,32.852739830539655,5,1,2
OKE,21.068584813480886,3,0,2
OMC,14.045643575623487,5,1,2
ON,16.29612777119074,3,2,0
ORCL,44.03608263153391,5,1,1
ORLY,29.06871443277278,5,0,1
OTIS,29.20670322865747,3,1,1
OXY,13.767900820131656,5,2,0
O,57.41666511253074,4,1,2
PANW,49.47398632248013,4,1,1
PARA,-1.3384224500971593,2,2,2
PAYC,20.286232031485888,5,1,1
PAYX,29.68950618768402,4,2,1
PCAR,10.966066135960698,5,2,1
PCG,16.846153063651844,5,0,2
PEG,27.88787841796875,3,1,0
PEP,24.378810046546175,5,0,1
PFE,-62.13043461675229,2,2,1
PFG,16.321495270060602,5,1,2
PGR,21.863013750886264,5,1,2
PG,28.053156957277825,4,1,1
PHM,10.644274995527194,4,2,2
PH,28.877289041931377,4,2,1
PKG,26.771643051090027,3,2,1
PLD,40.40263965971793,4,1,1
PM,21.07964574763205,5,0,2
PNC,15.277451341729751,3,1,0
PNR,24.21212051853989,5,2,2
PNW,16.23247294408369,5,1,2
PODD,41.580470604232595,4,1,2
POOL,30.580672576647846,3,1,1
PPG,21.07705038101947,5,2,1
PPL,31.6019410068549,5,2,1
PRU,15.707534848501856,5,1,2
PSA,32.37113344859272,3,2,1
PSX,11.888507299930318,3,2,1
PWR,57.68301909824587,5,2,1
PYPL,19.26213607047368,5,2,1
QCOM,21.90661399435595,5,2,2
QRVO,-364.2857142857143,4,2,2
REGN,26.81546220080007,5,1,1
REG,33.89952080101488,5,1,1
RF,12.831460759880837,3,1,0
RJF,14.332581426540923,5,1,1
RL,18.935328008585454,5,0,1
RMD,33.81213811091605,4,2,1
ROK,30.342046564275567,3,2,1
ROL,52.442104941920235,5,1,2
ROP,40.330124748450224,5,1,2
ROST,23.480645456621723,5,0,2
RSG,33.61306501992384,5,0,2
RTX,72.62209515238918,3,2,1
RVTY,87.91489296771111,3,2,1
SBAC,49.5515779194079,5,0,2
SBUX,27.05322180141588,3,0,1
SCHW,26.979166666666668,3,1,0
SHW,37.810589388286026,5,0,2
SJM,16.580508388368422,4,1,1
SLB,14.856208851134856,5,2,2
SMCI,2.052264785576721,3,2,1
SNA,14.895583908279221,5,2,2
SNPS,51.88357537600702,4,1,2
SOLV,28.948717035798946,3,1,0
SO,21.553698701335023,5,0,2
SPGI,48.59297750570743,5,2,2
SPG,21.547649533806187,5,0,2
SRE,17.649572323530148,3,1,1
STE,57.46766275434352,5,2,2
STLD,10.224880480119866,3,2,1
STT,16.10885563811693,1,1,1
STX,67.87341636947438,3,1,0
STZ,18.367088471254306,5,1,1
SWKS,20.00619872542452,3,2,0
SWK,-55.06666525816306,4,2,1
SW,-25.692306770073188,4,1,1
SYF,7.243016845021168,5,1,1
SYK,39.15496111713524,5,2,1
SYY,18.39268382002668,4,1,1
TAP,10.288073338499856,5,1,2
TDG,50.12795713526258,5,1,2
TDY,23.977149739229123,3,2,1
TECH,71.21904645647321,4,2,1
TEL,13.021485850335022,5,2,1
TER,42.92763157894737,5,1,0
TFC,-25.690908720999055,2,1,0
TFX,43.01798429420526,3,2,1
TGT,15.793388934174846,5,1,1
TJX,27.769976378064467,5,0,2
TMO,37.134614475903376,5,2,2
TMUS,28.337414799904337,5,0,2
TPR,12.3342175066313,3,1,0
TRGP,33.26736932051809,5,0,1
TRMB,64.72916603088379,3,2,1
TROW,12.806375586859872,4,1,2
TRV,14.959468442930158,5,1,2
TSCO,28.444551708843118,5,1,2
TSLA,70.24719152557716,3,2,1
TSN,-975.8333206176758,4,2,2
TTWO,-6.799193296342728,1,2,2
TXN,35.13171693481234,3,2,0
TXT,18.377118191476598,5,2,2
TYL,119.96894662671454,5,2,2
T,12.591953935294315,3,2,1
UAL,6.639013589764924,5,1,1
UBER,80.73912910793138,5,2,1
UDR,108.7560979331412,3,0,2
UHS,15.84717065949899,5,2,2
ULTA,15.327177350179396,3,1,1
UNH,39.12640716128599,2,1,1
UNP,22.449248177664618,5,0,2
UPS,21.41109298531811,3,2,1
USB,14.190476432679192,4,1,1
VICI,12.713724772135418,5,2,2
VLO,8.069121709288687,3,2,0
VLTO,34.89719521590854,3,2,1
VMC,35.24525440522354,4,2,1
VRSK,43.268731828621235,5,0,2
VRSN,22.410071210609637,5,1,2
VRTX,-229.954544221512,0,1,1
VST,101.77206151625688,3,1,0
VTRS,-21.46296324553313,2,1,0
VTR,-160.33333020332532,2,0,1
VZ,16.609022671118712,3,0,2
V,29.756958530597565,5,2,2
WAB,32.157895272238214,5,2,2
WAT,35.21578519137113,3,1,1
WBA,-1.293768585612583,2,1,1
WBD,-1.617463661082817,2,2,2
WDC,-13.086784708899623,2,2,0
WEC,20.847162305007334,5,0,1
WELL,119.58095005580357,5,1,2
WFC,11.672130959932922,3,1,0
WMB,21.48484894723603,3,0,0
WMT,42.15625127156576,4,1,2
WM,33.08267032398897,5,0,2
WRB,15.397367979350843,5,1,2
WST,42.17638691322902,3,1,1
WTW,28.00481719088692,5,2,1
WYNN,13.588917132505436,5,1,2
WY,32.23529516481886,3,2,0
XEL,19.023880460369053,5,0,1
XOM,14.931818400843863,3,2,1
XYL,41.19444482120466,5,2,1
YUM,25.01282185425252,3,1,0
ZBH,21.853862276654652,3,2,0
ZBRA,82.59459486952773,3,1,2
ZTS,37.26078407437194,4,1,1
