Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-27 00:00:00-04:00,27.416190221569085,27.576024050572677,27.124729166310697,27.42559242248535,2364600,0.0,0.0
2022-06-28 00:00:00-04:00,27.613633664152253,27.76406529665178,26.917885122233816,26.955493927001953,2467300,0.0,0.0
2022-06-29 00:00:00-04:00,26.946088697507818,27.124726913507416,26.598216258930318,27.068315505981445,2409200,0.0,0.0
2022-06-30 00:00:00-04:00,26.77685561658903,27.105925484250626,26.6170217833412,26.7956600189209,3571000,0.0,0.0
2022-07-01 00:00:00-04:00,26.79565827421983,26.88027628591712,26.165725183410224,26.53240203857422,2991800,0.0,0.0
2022-07-05 00:00:00-04:00,26.090514046084916,26.391377344555334,25.42297382676451,26.36317253112793,5033600,0.0,0.0
2022-07-06 00:00:00-04:00,26.37257033294935,26.57941517516461,26.15632508271207,26.410179138183594,2892800,0.0,0.0
2022-07-07 00:00:00-04:00,26.6640318463833,27.237551750934564,26.6640318463833,26.946090698242188,2169000,0.0,0.0
2022-07-08 00:00:00-04:00,26.974295297913958,27.22814752842397,26.720441274117633,27.068315505981445,2209300,0.0,0.0
2022-07-11 00:00:00-04:00,26.94609172580992,27.13413216307758,26.77685569092633,26.955493927001953,2248900,0.0,0.0
2022-07-12 00:00:00-04:00,26.936689672861345,27.17173932409624,26.400776754971634,26.67343521118164,2296400,0.0,0.0
2022-07-13 00:00:00-04:00,25.80845098084635,26.551206904737775,25.695626365511657,26.30675506591797,3143700,0.0,0.0
2022-07-14 00:00:00-04:00,26.222138371627473,26.504199027507727,25.723834261492765,26.35376739501953,3089400,0.0,0.0
2022-07-15 00:00:00-04:00,26.682839341300898,26.8520754007237,26.438389248008825,26.814468383789062,2350700,0.0,0.0
2022-07-18 00:00:00-04:00,26.523002444142357,26.917885939768407,25.996491714403145,26.485395431518555,5229100,0.0,0.0
2022-07-19 00:00:00-04:00,26.748651098222197,27.46320046176414,26.701640091879614,27.434995651245117,3015100,0.0,0.0
2022-07-20 00:00:00-04:00,26.588818138262813,27.275162713873186,26.56061153352899,26.823867797851562,7349500,0.0,0.0
2022-07-21 00:00:00-04:00,26.88027865093782,27.500809595790162,26.88027865093782,27.49140739440918,3632200,0.0,0.0
